Transaction_ID,User_ID,Timestamp,Amount,Location,Is_Fraud
TXN_1000,U_202,2023-01-26 19:11:24,207.65,"Chicago, IL",0
TXN_1001,U_171,2023-01-02 06:37:48,913.45,"Chicago, IL",0
TXN_1002,U_221,2023-01-19 04:06:46,64.84,"Philadelphia, PA",0
TXN_1003,U_187,2023-01-27 07:12:35,159.16,"Los Angeles, CA",0
TXN_1004,U_230,2023-01-04 19:29:25,63.07,"Chicago, IL",0
TXN_1005,U_443,2023-01-21 10:48:11,2794.58,"San Diego, CA",0
TXN_1006,U_485,2023-01-10 03:55:43,4860.11,"San Diego, CA",0
TXN_1007,U_260,2023-01-27 09:52:11,1302.86,"Los Angeles, CA",1
TXN_1008,U_847,2023-01-30 21:36:24,349.22,"Los Angeles, CA",0
TXN_1009,U_158,2023-01-23 05:11:26,155.23,"Phoenix, AZ",0
TXN_1010,U_575,2023-01-07 02:23:55,461.28,"New York, NY",0
TXN_1011,U_289,2023-01-01 23:30:54,968.35,"Chicago, IL",0
TXN_1012,U_975,2023-01-28 23:09:42,4093.22,"New York, NY",0
TXN_1013,U_604,2023-01-28 10:31:30,1970.69,"Houston, TX",0
TXN_1014,U_746,2023-01-30 22:30:44,603.75,"Philadelphia, PA",0
TXN_1015,U_373,2023-01-17 23:08:09,107.78,"San Antonio, TX",0
TXN_1016,U_439,2023-01-03 23:15:08,1795.93,"Phoenix, AZ",0
TXN_1017,U_134,2023-01-07 23:52:45,501.04,"New York, NY",0
TXN_1018,U_661,2023-01-21 12:36:55,1901.97,"San Diego, CA",1
TXN_1019,U_665,2023-01-16 18:48:35,209.39,"New York, NY",0
TXN_1020,U_802,2023-01-25 06:05:05,1497.25,"San Antonio, TX",0
TXN_1021,U_261,2023-01-15 17:15:41,2617.63,"Philadelphia, PA",0
TXN_1022,U_962,2023-01-19 08:06:38,97.66,"San Diego, CA",0
TXN_1023,U_826,2023-01-17 05:28:27,51.28,"Los Angeles, CA",0
TXN_1024,U_395,2023-01-01 06:27:27,1380.63,"Los Angeles, CA",0
TXN_1025,U_978,2023-01-16 07:28:25,3651.73,"Philadelphia, PA",1
TXN_1026,U_479,2023-01-15 20:59:20,356.37,"San Diego, CA",0
TXN_1027,U_912,2023-01-17 11:57:52,20.76,"Los Angeles, CA",0
TXN_1028,U_620,2023-01-18 09:53:04,226.54,"Los Angeles, CA",0
TXN_1029,U_571,2023-01-21 06:42:06,1694.9,"Philadelphia, PA",0
TXN_1030,U_692,2023-01-21 02:31:35,1310.66,"Los Angeles, CA",0
TXN_1031,U_388,2023-01-25 10:03:38,81.93,"Chicago, IL",0
TXN_1032,U_330,2023-01-22 08:03:20,981.3,"San Antonio, TX",0
TXN_1033,U_132,2023-01-05 01:34:39,468.34,"New York, NY",0
TXN_1034,U_673,2023-01-06 15:59:30,899.77,"New York, NY",0
TXN_1035,U_825,2023-01-25 13:21:30,828.81,"Philadelphia, PA",0
TXN_1036,U_838,2023-01-23 13:11:00,3570.32,"San Diego, CA",0
TXN_1037,U_742,2023-01-03 03:07:44,1284.16,"New York, NY",0
TXN_1038,U_602,2023-01-23 20:03:10,300.81,"Chicago, IL",0
TXN_1039,U_894,2023-01-14 12:22:32,1245.16,"New York, NY",0
TXN_1040,U_957,2023-01-02 10:00:09,583.63,"New York, NY",0
TXN_1041,U_790,2023-01-09 21:46:38,2266.09,"Philadelphia, PA",0
TXN_1042,U_340,2023-01-11 02:52:51,2386.27,"New York, NY",0
TXN_1043,U_506,2023-01-12 06:25:48,781.18,"Phoenix, AZ",0
TXN_1044,U_640,2023-01-15 01:04:35,3805.14,"Philadelphia, PA",1
TXN_1045,U_798,2023-01-23 07:40:34,180.81,"Philadelphia, PA",0
TXN_1046,U_677,2023-01-17 10:25:45,1655.89,"Philadelphia, PA",0
TXN_1047,U_745,2023-01-24 20:31:23,1632.97,"San Diego, CA",0
TXN_1048,U_655,2023-01-25 13:44:51,2235.81,"Houston, TX",0
TXN_1049,U_430,2023-01-07 06:38:55,1652.35,"San Diego, CA",0
TXN_1050,U_447,2023-01-29 18:06:53,121.59,"Los Angeles, CA",0
TXN_1051,U_476,2023-01-12 09:25:46,1289.06,"New York, NY",1
TXN_1052,U_844,2023-01-05 15:51:30,11.98,"Philadelphia, PA",0
TXN_1053,U_555,2023-01-21 19:39:52,668.26,"New York, NY",0
TXN_1054,U_324,2023-01-27 04:36:30,189.27,"Los Angeles, CA",0
TXN_1055,U_771,2023-01-12 17:29:03,821.68,"Chicago, IL",0
TXN_1056,U_791,2023-01-18 07:36:16,72.09,"Phoenix, AZ",0
TXN_1057,U_541,2023-01-27 12:10:27,288.53,"Chicago, IL",0
TXN_1058,U_906,2023-01-09 20:35:13,1250.73,"Phoenix, AZ",0
TXN_1059,U_712,2023-01-09 22:05:46,945.49,"Houston, TX",0
TXN_1060,U_741,2023-01-17 05:06:44,428.23,"San Antonio, TX",0
TXN_1061,U_484,2023-01-16 02:46:42,1298.64,"Chicago, IL",1
TXN_1062,U_783,2023-01-26 17:26:49,4249.04,"Chicago, IL",0
TXN_1063,U_515,2023-01-13 22:50:43,89.31,"Houston, TX",0
TXN_1064,U_283,2023-01-17 13:07:06,282.28,"Chicago, IL",0
TXN_1065,U_393,2023-01-30 14:37:11,640.45,"Los Angeles, CA",0
TXN_1066,U_709,2023-01-20 05:38:29,772.39,"Phoenix, AZ",0
TXN_1067,U_851,2023-01-25 12:50:23,1808.64,"Phoenix, AZ",0
TXN_1068,U_223,2023-01-20 04:51:06,211.43,"Houston, TX",0
TXN_1069,U_448,2023-01-04 14:39:15,399.46,"Phoenix, AZ",0
TXN_1070,U_502,2023-01-11 12:58:01,722.63,"New York, NY",0
TXN_1071,U_246,2023-01-02 15:34:43,1041.12,"San Diego, CA",0
TXN_1072,U_919,2023-01-05 15:38:16,1179.21,"Philadelphia, PA",0
